مندي ستيشن ,MANDY STATION,9.7,0500100932,MANDY_STATION@OUTLOOK.COM
كبيبة حايل ,Kbeba,9.8,0534482399,Kbeba_@hotmail.com
ترف ,TARAF,9.9,0566562312,info@tarafcoco.com
لابتيت باستري ,La Petite Patisserie,10,0543540552,F22n@hotmail.com
كيكة العسل الروسية هني ,huney bakery,9.9,0540717736,ymy_2_ymy@hotmail.com
ساتينا ,Satina,9.2,0599911134,Mohammed.a.habis@gmail.com
أويشي سوشي ,Oishiisushi,10,0566229310,info@oishiisushi.sa
بسكوتي ,BISCOTTI,9.3,0547027030,biscotti.ksa@gmail.com
الأطعمة اللذيذة  ,Yummy Food,10,0564810503,yummyfoods90@gmail.com
سمورز بار بوكس ,Smoresbar Box,10,0597729105,Ghadahbader@gmail.com
