Category,Store Name,Rating,Contact No,Email,,
Kitchen and Bakery,MANDY STATION,9.7,500100932,MANDY_STATION@OUTLOOK.COM,,
Kitchen and Bakery,Kbeba,9.8,534482399,Kbeba_@hotmail.com,,
Kitchen and Bakery,TARAF,9.9,566562312,info@tarafcoco.com,,
Kitchen and Bakery,La Petite Patisserie,10,543540552,F22n@hotmail.com,,
Kitchen and Bakery,huney bakery,9.9,540717736,ymy_2_ymy@hotmail.com,,
Kitchen and Bakery,Satina,9.2,599911134,Mohammed.a.habis@gmail.com,,
Kitchen and Bakery,Oishiisushi,10,566229310,info@oishiisushi.sa,,
Kitchen and Bakery,BISCOTTI,9.3,547027030,biscotti.ksa@gmail.com,,
Kitchen and Bakery,Yummy Food,10,564810503,yummyfoods90@gmail.com,,
Kitchen and Bakery,Smoresbar Box,10,597729105,Ghadahbader@gmail.com,,
Kitchen and Bakery,Jresh ome,9.8,539111213,Jresh.mama@gmail.com,,
Kitchen and Bakery,Burger on order,10,570222720,Latefah.law@hotmail.com,,
Kitchen and Bakery,Deseert,10,550099502,deseert-sc@hotmail.com,,
Kitchen and Bakery,10,550506554,mathaq_zaman@hotmail.com,,,
Kitchen and Bakery,nBakes,9.6,595791112,nBakes.sa@gmail.com,,
Kitchen and Bakery,Vanilla Sky Sweets,10,502858234,Vanilla.sky.sweets@hotmail.com,,
Kitchen and Bakery,Bakery Cup,10,556660905,info@bakerycup.com.sa,,
Kitchen and Bakery,Best salads,10,011-2031881,530656708,bestsalad2@gmail.com,
Kitchen and Bakery,Monalisa cake,9.6,533477810,Monalisa_kitchen@gmail.com,,
Kitchen and Bakery,Pestolivia,9.6,550192809,nano_sns@hotmail.com,,
Kitchen and Bakery,Jresh ome,9.8,539111213,Jresh.mama@gmail.com,,
Kitchen and Bakery,Burger on order,10,570222720,Latefah.law@hotmail.com,,
Kitchen and Bakery,Deseert,10,550099502,deseert-sc@hotmail.com,,
Kitchen and Bakery,10,550506554,mathaq_zaman@hotmail.com,,,
Kitchen and Bakery,nBakes,9.6,595791112,nBakes.sa@gmail.com,,
Kitchen and Bakery,Vanilla Sky Sweets,10,502858234,Vanilla.sky.sweets@hotmail.com,,
Kitchen and Bakery,Bakery Cup,10,556660905,info@bakerycup.com.sa,,
Kitchen and Bakery,Best salads,10,011-2031881,530656708,bestsalad2@gmail.com,
Kitchen and Bakery,Monalisa cake,9.6,533477810,Monalisa_kitchen@gmail.com,,
Kitchen and Bakery,Pestolivia,9.6,550192809,nano_sns@hotmail.com,,
Kitchen and Bakery,Jresh ome,9.8,539111213,Jresh.mama@gmail.com,,
Kitchen and Bakery,Burger on order,10,570222720,Latefah.law@hotmail.com,,
Kitchen and Bakery,Deseert,10,550099502,deseert-sc@hotmail.com,,
Kitchen and Bakery,10,550506554,mathaq_zaman@hotmail.com,,,
Kitchen and Bakery,nBakes,9.6,595791112,nBakes.sa@gmail.com,,
Kitchen and Bakery,Vanilla Sky Sweets,10,502858234,Vanilla.sky.sweets@hotmail.com,,
Kitchen and Bakery,Bakery Cup,10,556660905,info@bakerycup.com.sa,,
Kitchen and Bakery,Best salads,10,011-2031881,530656708,bestsalad2@gmail.com,
Kitchen and Bakery,Monalisa cake,9.6,533477810,Monalisa_kitchen@gmail.com,,
Kitchen and Bakery,Pestolivia,9.6,550192809,nano_sns@hotmail.com,,
Kitchen and Bakery,Jresh ome,9.8,539111213,Jresh.mama@gmail.com,,
Kitchen and Bakery,Burger on order,10,570222720,Latefah.law@hotmail.com,,
Kitchen and Bakery,Deseert,10,550099502,deseert-sc@hotmail.com,,
Kitchen and Bakery,10,550506554,mathaq_zaman@hotmail.com,,,
Kitchen and Bakery,nBakes,9.6,595791112,nBakes.sa@gmail.com,,
Kitchen and Bakery,Vanilla Sky Sweets,10,502858234,Vanilla.sky.sweets@hotmail.com,,
